method,n_clusters,silhouette_score,calinski_harabasz_score,davies_bouldin_score,smallest_cluster_size,largest_cluster_size
spectral,2,0.30552933040747976,1015.2735497334442,1.4765648775095466,936,1853
spectral,3,0.35040238426591697,1031.4876925450292,1.449616083987315,823,1030
spectral,4,0.4036586849697646,1014.0522352586006,1.2044107740855121,410,936
spectral,5,0.45456182409425266,1107.6415160626223,1.0891717562203573,410,838
spectral,6,0.5286931350263199,1307.8108433802777,0.8865859124485223,410,605
spectral,7,0.5304830791704956,1411.9835209674497,0.8172405316879071,276,486
spectral,8,0.54376691976679,1555.3718262177845,0.8136361873100039,218,473
spectral,9,0.5621337821283799,1710.3068804368686,0.8478499653665558,197,374
spectral,10,0.5886323149184591,1901.5714747938491,0.7364829354445894,97,374
