method,n_clusters,silhouette_score,calinski_harabasz_score,davies_bouldin_score,smallest_cluster_size,largest_cluster_size
spectral,2,0.3055293304074797,1015.2735497334442,1.4765648775095466,936,1853
spectral,3,0.3504023842659169,1031.4876925450292,1.449616083987315,823,1030
spectral,4,0.4036586849697646,1014.0522352586006,1.204410774085512,410,936
spectral,5,0.4545618240942526,1107.6415160626225,1.0891717562203571,410,838
spectral,6,0.5286931350263199,1307.8108433802777,0.8865859124485223,410,605
spectral,7,0.5304830791704956,1411.9835209674495,0.8172405316879071,276,486
spectral,8,0.54376691976679,1555.3718262177845,0.8136361873100039,218,473
spectral,9,0.5621337821283799,1710.3068804368686,0.8478499653665558,197,374
spectral,10,0.5886323149184591,1901.5714747938491,0.7364829354445894,97,374
kmeans,2,0.2998616994971516,1030.6593785161876,1.606133132055979,1346,1443
hierarchical_ward,2,0.27173184398895045,876.6490058649573,1.6205016163773003,1030,1759
kmeans,3,0.35040238426591697,1031.4876925450292,1.449616083987315,823,1030
hierarchical_ward,3,0.30857468404148025,850.213207229223,1.6259836599602853,718,1041
kmeans,4,0.36444869980215044,1046.4957751932034,1.222981995931925,410,936
hierarchical_ward,4,0.3368617583941184,950.7534541743405,1.274504109321662,415,1030
kmeans,5,0.42396966046269,1145.1031152484495,1.0988890369784543,410,856
hierarchical_ward,5,0.41695217431797715,1061.60341387838,1.1076971662644035,415,718
kmeans,6,0.5286931350263199,1307.8108433802777,0.8865859124485224,410,605
hierarchical_ward,6,0.4623603065018299,1153.927073480119,1.0054224554062716,344,626
kmeans,7,0.5270125839645934,1401.474389743843,0.8272557156668504,274,486
hierarchical_ward,7,0.5101160201687487,1319.3860827461153,0.8703520228984502,313,605
kmeans,8,0.5411440393636155,1546.257030045742,0.8611728239124319,258,473
hierarchical_ward,8,0.5402930000860804,1441.6551766932225,0.8524102895987749,197,605
kmeans,9,0.5787197174712357,1683.8386052117185,0.6925514359717394,185,473
hierarchical_ward,9,0.5490235436769016,1617.6571071954168,0.7851683842487707,197,425
kmeans,10,0.5998631845189943,1907.6911160461918,0.6835471345094812,185,425
hierarchical_ward,10,0.5649781898853313,1802.5314103739875,0.7554775627569181,102,374
